PortCode,MarketValue,as_of_date
"200500    ",272251.44,2018-12-31
"200500    ",282173.75,2019-01-31
"200500    ",299391.18,2019-02-28
"200500    ",293517.57,2019-03-29
"200500    ",303149.40,2019-04-30
"200500    ",284359.46,2019-05-31
"200500    ",298458.24,2019-06-28
"200500    ",478180.26,2019-07-31
"200500    ",471735.48,2019-08-30
"200500    ",482183.29,2019-09-30
"200500    ",487893.01,2019-10-31
"200500    ",505793.92,2019-11-29
"200500    ",506247.16,2019-12-31
"200500    ",518142.61,2020-01-31
"200500    ",485896.50,2020-02-28
"200500    ",436555.35,2020-03-31
"200500    ",475876.29,2020-04-30
"200500    ",494251.01,2020-05-29
"200500    ",507848.12,2020-06-30
"200500    ",530197.81,2020-07-31
"200500    ",525234.55,2020-08-31
"200500    ",543785.40,2020-09-30
"200500    ",531949.56,2020-10-30
"200500    ",584162.42,2020-11-30
"200500    ",596392.77,2020-12-31
"200500    ",593254.87,2021-01-29
"200500    ",612379.73,2021-02-26
"200500    ",639716.88,2021-03-31
"200500    ",658649.42,2021-04-30
"200500    ",664705.69,2021-05-31
"200500    ",690513.81,2021-06-30
"200500    ",711536.16,2021-07-30
"200500    ",740103.03,2021-08-31
"200500    ",727283.51,2021-09-30
"200500    ",747407.90,2021-10-29
"200500    ",756879.53,2021-11-30
"200500    ",783342.92,2021-12-31
"200500    ",748151.24,2022-01-31
"200500    ",733695.16,2022-02-28
"200500    ",744973.96,2022-03-31
"200500    ",687872.80,2022-04-29
"200500    ",688319.37,2022-05-31
"200500    ",631404.74,2022-06-30
"200500    ",690723.84,2022-07-29
"200500    ",677064.81,2022-08-31
"200500    ",649886.34,2022-09-30
"200500    ",677476.43,2022-10-31
"200500    ",720720.94,2022-11-30
"200500    ",676935.56,2022-12-30
"200500    ",717993.82,2023-01-31
"200500    ",709761.94,2023-02-28
"200500    ",711043.05,2023-03-31
"200500    ",715008.83,2023-04-28
"200500    ",697583.02,2023-05-31
"200500    ",734810.23,2023-06-30
"200500    ",753423.45,2023-07-31
"200500    ",747323.32,2023-08-31
"200500    ",710312.63,2023-09-29
"200500    ",691314.19,2023-10-31
"200500    ",752914.39,2023-11-30
"200500    ",777933.37,2023-12-29
"200500    ",783305.09,2024-01-31
"200500    ",825836.57,2024-02-29
"200500    ",851904.69,2024-03-28
"200501    ",382192.87,2018-12-31
"200501    ",397790.60,2019-01-31
"200501    ",411030.01,2019-02-28
"200501    ",418578.06,2019-03-29
"200501    ",438368.60,2019-04-30
"200501    ",410627.07,2019-05-31
"200501    ",426552.62,2019-06-28
"200501    ",434481.69,2019-07-31
"200501    ",428800.45,2019-08-30
"200501    ",438164.88,2019-09-30
"200501    ",443513.52,2019-10-31
"200501    ",459225.41,2019-11-29
"200501    ",459611.58,2019-12-31
"200501    ",469995.40,2020-01-31
"200501    ",440455.86,2020-02-28
"200501    ",396014.08,2020-03-31
"200501    ",431495.35,2020-04-30
"200501    ",447525.12,2020-05-29
"200501    ",459868.83,2020-06-30
"200501    ",480113.09,2020-07-31
"200501    ",475410.18,2020-08-31
"200501    ",492435.36,2020-09-30
"200501    ",481892.28,2020-10-30
"200501    ",529130.25,2020-11-30
"200501    ",540035.74,2020-12-31
"200501    ",536917.53,2021-01-29
"200501    ",553568.32,2021-02-26
"200501    ",578093.38,2021-03-31
"200501    ",594903.57,2021-04-30
"200501    ",600259.19,2021-05-31
"200501    ",623439.90,2021-06-30
"200501    ",641807.67,2021-07-30
"200501    ",667343.75,2021-08-31
"200501    ",655877.63,2021-09-30
"200501    ",673767.49,2021-10-29
"200501    ",682296.54,2021-11-30
"200501    ",706077.21,2021-12-31
"200501    ",673704.97,2022-01-31
"200501    ",660306.59,2022-02-28
"200501    ",670565.58,2022-03-31
"200501    ",619638.94,2022-04-29
"200501    ",619815.75,2022-05-31
"200501    ",568668.38,2022-06-30
"200501    ",622642.63,2022-07-29
"200501    ",610621.32,2022-08-31
"200501    ",586121.39,2022-09-30
"200501    ",610921.60,2022-10-31
"200501    ",650185.76,2022-11-30
"200501    ",610981.04,2022-12-30
"200501    ",647416.71,2023-01-31
"200501    ",639937.41,2023-02-28
"200501    ",640934.05,2023-03-31
"200501    ",644571.79,2023-04-28
"200501    ",628125.10,2023-05-31
"200501    ",661606.11,2023-06-30
"200501    ",677946.88,2023-07-31
"200501    ",672246.85,2023-08-31
"200501    ",638712.58,2023-09-29
"200501    ",621974.29,2023-10-31
"200501    ",677579.44,2023-11-30
"200501    ",709011.71,2023-12-29
"200501    ",714026.73,2024-01-31
"200501    ",753308.36,2024-02-29
"200501    ",776852.72,2024-03-28
"200761    ",0.00,2018-12-31
"200761    ",718198.58,2019-01-31
"200761    ",734436.96,2019-02-28
"200761    ",737661.18,2019-03-29
"200761    ",767583.55,2019-04-30
"200761    ",727870.33,2019-05-31
"200761    ",751131.63,2019-06-28
"200761    ",758999.30,2019-07-31
"200761    ",752168.55,2019-08-30
"200761    ",764565.06,2019-09-30
"200761    ",772457.64,2019-10-31
"200761    ",795664.51,2019-11-29
"200761    ",797032.39,2019-12-31
"200761    ",816221.36,2020-01-31
"200761    ",772344.89,2020-02-28
"200761    ",708744.59,2020-03-31
"200761    ",763199.88,2020-04-30
"200761    ",784138.79,2020-05-29
